country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-03-2025 22:00:00",24.792403,84.992416,OZONE,20,78,60
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-03-2025 22:00:00",24.762518,84.982348,PM10,38,82,59
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","08-03-2025 22:00:00",25.859655,85.77944,PM2.5,5,50,17
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-03-2025 22:00:00",26.63086,84.90051,PM2.5,15,322,168
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-03-2025 22:00:00",28.815329,77.153010,PM2.5,38,366,167
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-03-2025 22:00:00",28.815329,77.153010,NO2,34,85,55
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-03-2025 22:00:00",28.815329,77.153010,SO2,5,28,12
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-03-2025 22:00:00",28.815329,77.153010,CO,35,94,48
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.647622,77.3158090,PM2.5,45,297,173
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.647622,77.3158090,CO,46,122,69
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.695381,77.181665,NH3,5,7,6
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.695381,77.181665,SO2,12,30,21
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","08-03-2025 22:00:00",28.4706914,77.1099364,PM2.5,15,500,158
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","08-03-2025 22:00:00",28.4706914,77.1099364,CO,10,86,34
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-03-2025 22:00:00",21.258815,81.578979,SO2,5,23,9
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-03-2025 22:00:00",21.258815,81.578979,OZONE,4,18,12
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-03-2025 22:00:00",21.219665,81.630094,CO,24,98,44
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-03-2025 22:00:00",21.219665,81.630094,OZONE,7,35,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-03-2025 22:00:00",21.237755,81.705301,NO2,7,25,17
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-03-2025 22:00:00",21.237755,81.705301,NH3,7,7,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","08-03-2025 22:00:00",21.371751,81.664929,PM10,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","08-03-2025 22:00:00",21.371751,81.664929,OZONE,4,28,14
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-03-2025 22:00:00",22.118125,83.140608,CO,30,60,39
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-03-2025 22:00:00",22.118125,83.140608,OZONE,17,73,45
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-03-2025 22:00:00",22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-03-2025 22:00:00",22.126650,83.483212,PM10,48,423,163
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-03-2025 22:00:00",22.126650,83.483212,NO2,28,66,43
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-03-2025 22:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-03-2025 22:00:00",21.258815,81.578979,PM10,26,132,62
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","08-03-2025 22:00:00",28.7256504,77.2011573,CO,33,52,39
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","08-03-2025 22:00:00",28.5512005,77.2735737,PM2.5,38,297,148
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","08-03-2025 22:00:00",28.5512005,77.2735737,CO,6,126,7
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","08-03-2025 22:00:00",28.5512005,77.2735737,OZONE,39,144,80
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","08-03-2025 22:00:00",28.656756,77.227234,CO,30,111,60
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-03-2025 22:00:00",28.7500499,77.1112615,CO,16,39,23
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","08-03-2025 22:00:00",24.952822,84.002396,OZONE,3,15,10
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","08-03-2025 22:00:00",26.2271665,84.3570427,NO2,1,2,1
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","08-03-2025 22:00:00",21.194815,81.314770,NO2,8,132,54
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","08-03-2025 22:00:00",21.224231,81.408350,PM2.5,57,137,90
